risk_segment,customer_count,avg_probability,std_probability,total_expected_loss,customer_percentage,avg_expected_loss,action_required,model_version,export_timestamp
High Risk,98,0.7458251106179459,0.03411713126929234,73090.86084055869,0.0098,745.8251106179458,Immediate,v1.0,2025-10-29 10:24:05.516514
Low Risk,5751,0.1739969012240709,0.07461802843311563,1000656.1789396318,0.5751,173.9969012240709,Monitor,v1.0,2025-10-29 10:24:05.516514
Medium Risk,4151,0.4284833130238844,0.09552347448365903,1778634.2323621442,0.4151,428.4833130238844,Within 30 days,v1.0,2025-10-29 10:24:05.516514
